"DisplayName","StartMode","StartName","Description"
"IPsec Policy Agent","Manual","NT Authority\NetworkService","インターネット プロトコル セキュリティ (IPsec) はネットワークレベルのピア認証、データ送信元の認証、データの整合性、データの機密性 (暗号化)、および返信保護をサポートします。このサービスは、IP セキュリティ ポリシー スナップインまたはコマンド ライン ツール ""netsh ipsec"" で作成された IPsec ポリシーを適用します。このサービスを停止すると、ポリシーが接続に IPsec の使用を必要とする場合に、ネットワークの接続性の問題が発生します。また、このサービスを停止しているときは、Windows Defender ファイアウォールのリモート管理はできません。"
"Power","Auto","LocalSystem","電源ポリシーと電源ポリシーの通知配信を管理します。"
"PowerAttendantBasicEdition","Auto","LocalSystem","PowerAttendantBasicEdition"
"Printer Extensions and Notifications","Manual","LocalSystem","このサービスは、カスタム プリンターのダイアログ ボックスを開き、リモートのプリント サーバーまたはプリンターからの通知を処理します。このサービスを無効にすると、プリンター拡張または通知は表示されません。"
"User Profile Service","Auto","LocalSystem","このサービスにより、ユーザー プロファイルのロードとアンロードが行われます。このサービスが停止または無効になると、ユーザーは正常にサインインまたはサインアウトできなくなり、アプリからユーザーのデータにアクセスできなくなる可能性があります。また、プロファイルのイベント通知を受信するよう登録したコンポーネントで、通知を受信できなくなります。"
"Windows PushToInstall サービス","Disabled","LocalSystem","Microsoft Store のインフラストラクチャ サポートを提供します。このサービスは自動的に開始されます。無効にすると、リモート インストールは正しく動作しなくなります。"
"Quality Windows Audio Video Experience","Manual","NT AUTHORITY\LocalService","高品質な Windows オーディオ ビデオ エクスペリエンス (qWave) は、IP ホーム ネットワーク上のオーディオ ビデオ (AV) ストリーミング アプリケーション向けのネットワーク プラットフォームです。qWave は、AV アプリケーションのネットワーク QoS (サービスの品質) を保証することで、AV ストリーミングのパフォーマンスと信頼性を向上させます。qWave は、受付制御、実行時の監視と実施、アプリケーションのフィードバック、およびトラフィックの優先順位付けのための機構を提供します。"
"Remote Access Auto Connection Manager","Manual","localSystem","プログラムにより、リモート DNS 名やリモート NetBIOS 名またはアドレスが参照された場合に、リモート ネットワークへの接続を作成します。"
"Remote Access Connection Manager","Auto","localSystem","このコンピューターからインターネットや他のリモート ネットワークへのダイヤルアップ接続と仮想プライベート ネットワーク (VPN) 接続を管理します。このサービスを無効にすると、このサービスに明示的に依存しているサービスは開始できません。"
"Routing and Remote Access","Disabled","localSystem","企業ユーザーのために、ローカル エリア ネットワークとワイド エリア ネットワーク環境でのルーティング サービスを提供します。"
"Remote Registry","Auto","NT AUTHORITY\LocalService","リモート ユーザーがこのコンピューターのレジストリ設定を変更できるようにします。このサービスが停止している場合は、このコンピューターのユーザーのみがレジストリを変更できます。このサービスを無効にすると、このサービスに明示的に依存するすべてのサービスを開始できなくなります。"
"無線管理サービス","Disabled","NT AUTHORITY\LocalService","無線管理および機内モード サービス"
"RPC Endpoint Mapper","Auto","NT AUTHORITY\NetworkService","トランスポートのエンドポイントに対する RPC インターフェイス識別子を解決します。このサービスが停止または無効の場合、リモート プロシージャ コール (RPC) サービスは正常に機能しません。"
"Remote Procedure Call (RPC) Locator","Manual","NT AUTHORITY\NetworkService","Windows 2003 およびそれ以前のバージョンの Windows では、リモート プロシージャ コール (RPC) ロケーター サービスによって、RPC ネーム サービス データベースが管理されます。Windows Vista およびそれ以降のバージョンの Windows では、このサービスは機能を提供せず、アプリケーションの互換性のために存在しています。"
"Remote Procedure Call (RPC)","Auto","NT AUTHORITY\NetworkService","RPCSS サービスは、COM および DCOM サーバーのサービス コントロール マネージャーです。COM および DCOM サーバーに対して、オブジェクト アクティブ化要求、オブジェクト エクスポーターの解決、および分散ガベージ コレクションを実行します。このサービスが停止しているか無効になっている場合、COM または DCOM を使用するプログラムは正常に機能しません。RPCSS サービスを実行しておくことを推奨します。"
"Resultant Set of Policy Provider","Manual","LocalSystem","グループ ポリシー設定のターゲット ユーザーやコンピューターへの適用を様々な状態でシミュレートし、ポリシーの結果セットの設定を計算する要求を処理するネットワーク サービスを提供します。"
"Special Administration Console Helper","Manual","LocalSystem","管理者が緊急管理サービスを使用してコマンド プロンプトにリモートでアクセスできるようにします。"
"Security Accounts Manager","Auto","LocalSystem","このサービスのスタートアップで別のサービスに、セキュリティ アカウント マネージャー (SAM) は、要求を受信する準備ができているというシグナルを送信します。このサービスを無効にするとシステムのほかのサービスは、SAM の準備ができたときに通知されません。この場合、これらのサービスを開始できないことがあります。このサービスを無効にしないでください。"
"Smart Card","Manual","NT AUTHORITY\LocalService","このコンピューターで読み取られたスマート カードへのアクセスを管理します。このサービスが停止されると、このコンピューターではスマート カードを読み取れなくなります。このサービスが無効にされると、このサービスに明示的に依存しているサービスはすべて開始できなくなります。"
"Smart Card Device Enumeration Service","Disabled","LocalSystem","指定されたセッションにアクセスできるすべてのスマート カード リーダーのためにソフトウェア デバイス ノードを作成します。このサービスを無効にすると、WinRT API はスマート カード リーダーを列挙できなくなります。"
"Task Scheduler","Auto","LocalSystem","ユーザーは、コンピューターの自動タスクを構成およびスケジュールできます。このサービスは Windows のシステムに必要な複数のタスクもホストします。このサービスが停止されている場合や無効になっている場合、スケジュールされた時刻にタスクは起動されません。このサービスが無効になっている場合は、このサービスに明示的に依存するサービスは開始できなくなります。"
"Smart Card Removal Policy","Manual","LocalSystem","ユーザー デスクトップからスマート カードを引き抜いたときにデスクトップをロックするよう、システムを構成できます。"
"Secondary Logon","Manual","LocalSystem","別の資格情報でのプロセスの開始を有効にします。このサービスを停止するとこの種のログオン アクセスは利用できなくなります。このサービスを無効にすると、このサービスに明示的に依存しているサービスはすべて開始できなくなります。"
"Windows セキュリティ サービス","Manual","LocalSystem","Windows セキュリティ サービスは、統合デバイス保護と正常性情報を処理します"
"支払いおよび NFC/SE マネージャー","Disabled","NT AUTHORITY\LocalService","支払いおよび近距離無線通信 (NFC) ベースのセキュアエレメントを管理します。"
"System Event Notification Service","Auto","LocalSystem","システム イベントを監視し、これらのイベントの COM+ イベント システムにサブスクライバーを通知します。"
"Sense","Manual","LocalSystem",
"Sensor Data Service","Disabled","LocalSystem","各種センサーからのデータを配信"
"Sensor Service","Manual","LocalSystem","さまざまなセンサーの機能を管理するセンサー用サービス。センサーの簡易デバイス方向 (SDO: Simple Device Orientation) と履歴を管理します。デバイス方向の変化をレポートする SDO センサーを読み込みます。このサービスが停止している場合または無効になっている場合は、SDO センサーが読み込まれないため、自動回転が行われません。センサーからの履歴収集も停止されます。"
"Sensor Monitoring Service","Manual","NT AUTHORITY\LocalService","データを公開してシステムおよびユーザーの状態に合わせるために、さまざまなセンサーを監視します。このサービスを停止または無効にすると、光の状態に合わせた画面の明るさの調節は行われません。このサービスを停止すると、他のシステム機能にも影響する可能性があります。"
"Remote Desktop Configuration","Manual","localSystem","リモート デスクトップ サービスとリモート デスクトップに関連する、SYSTEM コンテキストを必要とするすべての構成およびセッション管理のアクティビティには、リモート デスクトップの構成サービス (RDCS) が使用されます。これらのアクティビティには、セッションごとの一時フォルダー、RD テーマ、および RD 証明書が含まれます。"
"Internet Connection Sharing (ICS)","Disabled","LocalSystem","ホーム ネットワークまたは小規模オフィスのネットワークに対してネットワーク アドレスの変換、アドレスの指定、名前解決、およびアタックの防止のサービスを提供します。"
"Shell Hardware Detection","Auto","LocalSystem","自動再生ハードウェア イベントの通知を提供します。"
"Shared PC Account Manager","Disabled","LocalSystem","Manages profiles and accounts on a SharedPC configured device"
"Syunkai Background daemon","Auto","LocalSystem",
"Syunkai Remote Display Service","Auto","LocalSystem",
"System Management Assistant Service","Disabled","LocalSystem","Provides OS-level inband and out of band Agentless Management information and Active Health System events."
"Microsoft Storage Spaces SMP","Manual","NT AUTHORITY\NetworkService","Microsoft 記憶域管理プロバイダーのホスト サービスです。このサービスが停止するか、無効になると、記憶域を管理できなくなります。"
"SNMP トラップ","Manual","NT AUTHORITY\LocalService","ローカルまたはリモートの簡易ネットワーク管理プロトコル (SNMP) エージェントによって生成されたトラップ メッセージを受信して、このコンピューター上で実行されている SNMP 管理プログラムに転送します。このサービスが停止している場合は、このコンピューター上の SNMP ベースのプログラムは SNMP トラップ メッセージを受信しません。このサービスが無効になっている場合は、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Print Spooler","Auto","LocalSystem","このサービスは、印刷ジョブをスプールし、プリンターとの通信を処理します。このサービスを停止すると、印刷できなくなるか、プリンターが表示されなくなります。"
"Software Protection","Auto","NT AUTHORITY\NetworkService","Windows と Windows アプリケーションのデジタル ライセンスのダウンロード、インストール、および実施を有効にします。このサービスを無効にした場合、オペレーティング システムおよびライセンスされたアプリケーションは、通知モードで実行される可能性があります。ソフトウェア保護サービスを無効にしないことをお勧めします。"
"SQL Server エージェント (NEBULA2010DB)","Disabled","NT AUTHORITY\NETWORKSERVICE","ジョブの実行、SQL Server の監視、警告の通知を行い、一部の管理タスクのオートメーションを許可します。"
"SQL Server エージェント (OFCSCAN)","Disabled","NT AUTHORITY\NETWORKSERVICE","ジョブの実行、SQL Server の監視、警告の通知を行い、一部の管理タスクのオートメーションを許可します。"
"SQL Server Browser","Disabled","NT AUTHORITY\LOCALSERVICE","SQL Server 接続情報をクライアント コンピューターに指定します。"
"SQL Server CEIP service (NEBULA2010DB)","Auto","NT Service\SQLTELEMETRY$NEBULA2010DB","CEIP service for Sql server "
"SQL Server CEIP サービス (OFCSCAN)","Auto","NT Service\SQLTELEMETRY$OFCSCAN","SQL Server の CEIP サービス"
"SQL Server VSS Writer","Auto","LocalSystem","Windows VSS インフラストラクチャを使用して Microsoft SQL Server をバックアップまたは復元するためのインターフェイスを提供します。"
"SSDP Discovery","Disabled","NT AUTHORITY\LocalService","SSDP 発見プロトコルを使用する、UPnP デバイスなどのネットワーク デバイスやサービスを検出します。また、ローカル コンピューターで実行中の SSDP デバイスを表示します。サービスを停止すると、SSDP ベースのデバイスは検出されません。サービスを無効にすると、このサービスに明示的に依存するサービスは開始できません。"
"OpenSSH Authentication Agent","Disabled","LocalSystem","Agent to hold private keys used for public key authentication."
"Secure Socket Tunneling Protocol Service","Manual","NT Authority\LocalService","VPN によるリモート コンピューターへの接続に使用する Secure Socket トンネリング プロトコルのサポートを提供します。このサービスが無効になっている場合、ユーザーが SSTP を使用してリモート サーバーに接続することはできません。"
"State Repository Service","Auto","LocalSystem","アプリケーション モデルに対する必要なインフラストラクチャ サポートを提供します。"
"Windows Image Acquisition (WIA)","Manual","NT Authority\LocalService","スキャナーとカメラに画像取得サービスを提供します"
"Storage Service","Auto","LocalSystem","ストレージ設定と外部ストレージの拡張を有効にするためのサービスを提供します"
"Integrated Smart Update Tools","Auto","LocalSystem","Integrated Smart Update Tools (iSUT) enables HPE OneView and/or iLO Amplifier Pack and/or SUM to perform firmware and software deployment via the iLO management network."
"Spot Verifier","Manual","LocalSystem","ファイル システム破損の可能性を検査します。"
"Microsoft Software Shadow Copy Provider","Manual","LocalSystem","ボリューム シャドウ コピー サービスによるソフトウェア ベースのシャドウ コピーを管理します。このサービスが停止している場合、ソフトウェア ベースのシャドウ コピーは管理できません。このサービスが無効な場合は、このサービスに明確に依存しているすべてのサービスは開始できなくなります。"
"SysMain","Auto","LocalSystem","長期間にわたり、システム パフォーマンスの維持および向上を図ります。"
"System Events Broker","Auto","LocalSystem","WinRT アプリケーションのバックグラウンド処理の実行を調整します。このサービスが停止しているか無効になっている場合、バックグラウンド処理がトリガーされない可能性があります。"
"Touch Keyboard and Handwriting Panel Service","Manual","LocalSystem","タッチ キーボードと手書きパネルのペンおよびインク機能を有効にする"
"Telephony","Manual","NT AUTHORITY\NetworkService","テレフォニー デバイスを制御するプログラムを使用してテレフォニー API (TAPI) を供給します。ローカル コンピューターと同様、このサービスを実行しているサーバーを LAN をとおして制御できます。"
"Remote Desktop Services","Manual","NT Authority\NetworkService","ユーザーがリモート コンピューターに対話的に接続できるようになります。リモート デスクトップおよびリモート デスクトップ セッション ホスト サーバーは、このサービスに依存します。このコンピューターをリモートで使えないようにするには、コントロール パネルの [システム] の [リモート] タブにあるチェックボックスをオフにしてください。"
"Themes","Auto","LocalSystem","テーマの管理を提供します。"
"Storage Tiers Management","Manual","localSystem","システム内のすべての階層型記憶域で、記憶域階層へのデータの配置を最適化します。"
"Time Broker","Manual","NT AUTHORITY\LocalService","WinRT アプリケーションのバックグラウンド処理の実行を調整します。このサービスが停止しているか無効になっている場合、バックグラウンド処理がトリガーされない可能性があります。"
"Trend Micro Unauthorized Change Prevention Service","Manual","LocalSystem","トレンドマイクロの不正変更防止機能を管理します。"
"Apex One Common Client Solution Framework","Manual","LocalSystem","Trend Micro Apex Oneセキュリティエージェントの高度なソリューションおよび機能を管理します。"
"Trend Micro Application Control Service","Manual","LocalSystem","Manages the allowed, blocked, and lockdown policies of the Application Control feature"
"Apex One NT Listener","Auto","LocalSystem","Apex Oneサーバからコマンドと通知を受信して、Apex Oneセキュリティエージェントからサーバへの通信を制御します。"
"Apex One NT WSC Service","Auto","LocalSystem","Reports security status of Apex One agents to Security Center"
"Web アカウント マネージャー","Manual","LocalSystem","このサービスは、アプリとサービスにシングル サインオンを提供するために Web アカウント マネージャーによって使用されます。"
"Trend Micro Vulnerability Protection Service","Manual","LocalSystem","Manages protected endpoints with Intrusion Prevention rules based on network performance and security priorities."
"Distributed Link Tracking Client","Manual","LocalSystem","ネットワーク内またはコンピューターの NTFS ボリューム間のリンクを管理します。"
"Windows Modules Installer","Manual","localSystem","Windows の更新プログラムおよびオプション コンポーネントのインストール、変更、および削除を可能にします。このサービスを無効にしていると、このコンピューターに対する Windows Update のインストールまたはアンインストールが失敗する場合があります。"
"タイム ゾーンの自動更新機能","Disabled","NT AUTHORITY\LocalService","システムのタイム ゾーンを自動的に設定します。"
"User Access Logging Service","Auto","LocalSystem","このサービスでは、ローカル サーバーにインストールされた製品および役割に対する一意のクライアント アクセス要求を記録します。記録される情報は IP アドレスとユーザー名です。オフライン クライアント アクセス ライセンス (CAL) 管理用にサーバー ソフトウェアに対するクライアント要求を定量化する必要がある管理者は、Powershell を使用してこの情報を照会できます。サービスを無効化した場合、クライアント要求は記録されず、Powershell クエリを使用して取得することができません。サービスを停止しても、履歴データのクエリには影響しません (履歴データの削除手順については、サポート ドキュメントを参照)。ローカル システム管理者は各自の Windows Server ライセンス条項を参照して、サーバー ソフトウェアが正しくライセンスされるために必要な CAL の数を確認する必要があります。UAL のサービスとデータを使用しても、この義務は変わりません。"
"ユーザー エクスペリエンス仮想化サービス","Disabled","LocalSystem","アプリケーション設定と OS 設定のローミングをサポートします"
"Remote Desktop Services UserMode Port Redirector","Manual","localSystem","RDP 接続用のプリンター/ドライブ/ポートのリダイレクトを許可します"
"UPnP Device Host","Disabled","NT AUTHORITY\LocalService","このコンピューター上での UPnP デバイスのホストを可能にします。サービスを停止すると、ホストされている UPnP デバイスは機能しなくなり、ホストされるデバイスを追加することもできません。サービスを無効にすると、明示的にこのサービスに依存しているサービスは開始できなくなります。"
"User Manager","Auto","LocalSystem","ユーザー マネージャーは、マルチユーザーの操作に必要なランタイム コンポーネントを提供します。このサービスが停止すると、一部のアプリケーションが正常に機能しなくなる可能性があります。"
"Orchestrator Service の更新","Auto","LocalSystem","Windows 更新プログラムを管理します。停止すると、デバイスは最新の更新プログラムをダウンロードしてインストールできなくなります。"
"Credential Manager","Manual","LocalSystem","セキュリティで保護された資格情報の保存と取得を、ユーザー、アプリケーション、およびセキュリティ サービス パッケージに提供します。"
"Virtual Disk","Manual","LocalSystem","ディスク、ボリューム、ファイル システム、および記憶域アレイの管理サービスを提供します。"
"Hyper-V Guest Service Interface","Manual","LocalSystem","仮想マシン内で実行されている特定のサービスを操作するための Hyper-V ホストのインターフェイスを提供します。"
"Hyper-V Heartbeat Service","Manual","LocalSystem","定期的にハートビートを報告することで、この仮想マシンの状態を監視します。このサービスは、応答が停止した稼動中の仮想マシンを特定するために役立ちます。"
"Hyper-V Data Exchange Service","Manual","LocalSystem","仮想マシンと物理コンピューター上で実行されているオペレーティング システムとの間でデータを交換する手段を提供します。"
"Hyper-V Guest Shutdown Service","Manual","LocalSystem","この仮想マシンのオペレーティング システムを物理コンピューター上の管理インターフェイスからシャットダウンする手段を提供します。"
"Hyper-V Time Synchronization Service","Manual","NT AUTHORITY\LocalService","この仮想マシンのシステム時刻を物理コンピューターのシステム時刻と同期します。"
"Hyper-V PowerShell Direct Service","Manual","LocalSystem","仮想ネットワークを使わずに、PowerShell を使用して VM セッション経由で仮想マシンを管理する手段を提供します。"
"Hyper-V ボリューム シャドウ コピー リクエスター","Manual","LocalSystem","物理コンピューター上のオペレーティング システムから仮想マシンにアプリケーションとデータをバックアップするボリューム シャドウ コピー サービスを使用するために必要な通信を調整します。"
"Volume Shadow Copy","Manual","LocalSystem","バックアップやその他の目的で使用されるボリューム シャドウ コピーを、管理および実装します。このサービスが停止されると、シャドウ コピーはバックアップに利用できず、バックアップは失敗する可能性があります。このサービスが無効の場合、これに明示的に依存するサービスは開始できません。"
"Windows Time","Auto","NT AUTHORITY\LocalService","ネットワーク上のクライアントとサーバーの日時の同期を維持します。このサービスを停止すると、日時の同期は行われなくなります。このサービスを無効にすると、このサービスに依存しているサービスは起動できなくなります。"
"W3C Logging Service","Manual","localSystem","インターネット インフォメーション サービス (IIS) の W3C ログを記録します。このサービスが停止している場合、IIS により構成されている W3C ログは機能しません。"
"World Wide Web 発行サービス","Auto","localSystem","インターネット インフォメーション サービス マネージャーを使用した Web 接続と管理を提供します。"
"Windows Update Medic Service","Manual","LocalSystem","Windows Update コンポーネントの修復と保護を有効にします。"
"WalletService","Disabled","LocalSystem","ウォレットのクライアントによって使用されるオブジェクトをホストします"
"Warp JIT Service","Manual","NT Authority\LocalService","Enables JIT compilation support in d3d10warp.dll for processes in which code generation is disabled."
"Windows プロセス アクティブ化サービス","Manual","localSystem","Windows プロセス アクティブ化サービス (WAS) では、メッセージによりライセンス認証をしたアプリケーションに対して、プロセスのライセンス認証、リソース管理、および健全性の管理を提供します。"
"Windows Biometric Service","Manual","LocalSystem","Windows 生体認証サービスを使用すると、クライアント アプリケーションでは、生体認証ハードウェアまたはサンプルに直接アクセスせずに生体認証データをキャプチャ、比較、操作、および保存できます。このサービスは、特権のある SVCHOST プロセスでホストされます。"
"Windows Connection Manager","Auto","NT Authority\LocalService","PC で現在使用可能なネットワーク接続オプションに基づいて接続/切断の自動決定を行い、グループ ポリシー設定に基づいてネットワーク接続の管理を有効にします。"
"Diagnostic Service Host","Manual","NT AUTHORITY\LocalService","Diagnostic Service Host は、ローカル サービス コンテキストでの実行が必要な診断をホストするために、診断ポリシー サービスによって使用されます。このサービスを停止すると、このサービスに依存する診断はすべて機能しなくなります。"
"Diagnostic System Host","Manual","LocalSystem","Diagnostic System Host は、ローカル システム コンテキストでの実行が必要な診断をホストするために、診断ポリシー サービスによって使用されます。このサービスを停止すると、このサービスに依存する診断はすべて機能しなくなります。"
"Microsoft Defender ウイルス対策 ネットワーク検査サービス","Manual","NT AUTHORITY\LocalService","ネットワーク プロトコルでの既知の脆弱性や新たに見つかった脆弱性をねらった侵入の阻止に役立ちます"
"Windows Event Collector","Manual","NT AUTHORITY\NetworkService","このサービスは、WS-Management プロトコルをサポートするリモート ソースから受信するイベントの永続的サブスクリプションを管理します。これには、Windows Vista イベント ログ、ハードウェアおよび IPMI 対応イベント ソースが含まれます。サービスは転送されたイベントをローカルのイベント ログに保存します。このサービスが停止するか無効になっている場合、イベント サブスクリプションは作成できず、転送されたイベントは受け付けることができません。"
"Windows Encryption Provider Host Service","Manual","NT AUTHORITY\LocalService","Windows 暗号化プロバイダー ホスト サービスが仲介となって、暗号化に関連した機能が、サード パーティの暗号化プロバイダーから、EAS ポリシーを評価し適用する必要があるプロセスへ渡されます。このホスト サービスを停止すると、接続されているメール アカウントによって確立された EAS のコンプライアンスの検証に問題が発生する可能性があります"
"Problem Reports Control Panel Support","Manual","localSystem","このサービスは、コントロール パネルの [問題レポート] でシステム レベルの問題レポートの表示、送信、削除をサポートします。"
"Windows Error Reporting Service","Manual","localSystem","プログラムの動作または応答が停止したときにエラーが報告されるのを許可し、既にある解決策が配信されるのを許可します。また、診断および修復サービスのためのログの生成を許可します。このサービスが停止されると、エラーの報告が正常に動作せず、診断サービスおよび修復の結果が表示されない可能性があります。"
"Still Image Acquisition Events","Manual","LocalSystem","静止イメージ取得イベントに関連付けられているアプリケーションを起動します。"
"Microsoft Defender ウイルス対策サービス","Auto","LocalSystem","マルウェアおよびその他の望ましくない可能性のあるソフトウェアからのユーザー保護に役立ちます"
"WinHTTP Web Proxy Auto-Discovery Service","Manual","NT AUTHORITY\LocalService","WinHTTP はクライアント HTTP スタックを実装し、HTTP 要求の送信および応答の受信を行う Win32 API および COM オートメーション コンポーネントを開発者に提供します。さらに、WinHTTP は Web プロキシ自動発見 (WPAD) プロトコルの実装により、プロキシ構成を自動検出します。"
"Windows Management Instrumentation","Auto","localSystem","オペレーティング システム、デバイス、アプリケーション、サービスに関する管理情報にアクセスするための共通インターフェイスとオブジェクト モデルを提供します。このサービスが停止していると、Windows ベースのソフトウェアのほとんどが正しく機能しません。このサービスが無効になっている場合は、このサービスに明示的に依存するサービスは何も開始できなくなります。"
"Windows Remote Management (WS-Management)","Auto","NT AUTHORITY\NetworkService","Windows リモート管理 (WinRM) サービスは、リモート管理用の WS-Management プロトコルを実装しています。WS-Management は、リモートのソフトウェアとハードウェアの管理に使用される標準の Web サービス プロトコルです。WinRM サービスは、ネットワーク上で WS-Management 要求をリッスンして処理します。WinRM サービスがネットワークをリッスンできるように、winrm.cmd コマンド ライン ツールを使用するかグループ ポリシーを介して、WinRM サービスにリスナーを構成する必要があります。このサービスを使用することにより、WMI データへのアクセスとイベントの収集が可能になります。イベントの収集およびイベントに対するサブスクリプションを実行する場合、WinRM サービスが稼働している必要があります。WinRM メッセージは、HTTP および HTTPS をトランスポートとして使用します。WinRM サービスは IIS には依存しませんが、同じコンピューター上で 1 つのポートを IIS と共有するよう事前に設定されています。このサービスでは URL のプレフィックスとして /wsman が予約されています。IIS との競合を避けるため、IIS 上のどの Web サイトでも /wsman が URL プレフィックスとして使用されていないことを確認する必要があります。"
"Windows Insider サービス","Disabled","LocalSystem","Windows Insider Program のインフラストラクチャ サポートを提供します。Windows Insider Program が機能するためには、このサービスを有効にしておく必要があります。"
"Microsoft Account Sign-in Assistant","Manual","LocalSystem","ユーザーは Microsoft アカウント ID サービスを使用してサインインできます。このサービスが停止されている場合、ユーザーは、Microsoft アカウントを使用してコンピューターにログオンできなくなります。"
"WMI Performance Adapter","Manual","localSystem","Windows Management Instrumentation (WMI) プロバイダーからネットワーク上のクライアントへのパフォーマンス ライブラリ情報を提供します。このサービスは Performance Data Helper が有効なときにのみ実行します。"
"Windows Media Player Network Sharing Service","Manual","NT AUTHORITY\NetworkService","ユニバーサル プラグ アンド プレイを使用して、Windows Media Player ライブラリを、ネットワーク接続された他のプレーヤーやメディア デバイスと共有します"
"Web Management Service","Manual","NT AUTHORITY\LocalService","Web 管理サービスでは、管理者がこのコンピューターの Web サーバー、サイトおよびアプリケーションを管理するための機能リモートで操作したり、委任したりすることができます。"
"Portable Device Enumerator Service","Manual","LocalSystem","リムーバブル大容量記憶装置用のグループ ポリシーを適用します。Windows Media Player やイメージ インポート ウィザードなどのアプリケーションにより、リムーバブル大容量記憶装置を使用してコンテンツを転送または同期できるようにします。"
"Windows プッシュ通知システム サービス","Auto","LocalSystem","このサービスはセッション 0 で実行し、通知プラットフォームと、デバイスと WNS サーバー間の接続を処理する接続プロバイダーをホストします。"
"Windows Search","Disabled","LocalSystem","ファイル、電子メール、その他のコンテンツに対して、コンテンツのインデックス作成、プロパティ キャッシュ処理、検索結果の表示を行います。"
"Windows Update","Manual","LocalSystem","Windows およびその他のプログラムに対する更新プログラムの検出、ダウンロード、およびインストールを有効にします。このサービスが無効な場合、このコンピューターのユーザーは Windows Update またはその自動更新機能を使用できなくなります。また、プログラムによる Windows Update Agent (WUA) API も使用できなくなります。"
"CaptureService_e6087","Manual",,"Windows.Graphics.Capture API を呼び出すアプリケーションに対してオプションの画面取り込み機能を有効にします。"
"クリップボード ユーザー サービス_e6087","Auto",,"このユーザー サービスはクリップボードのシナリオに使用されます"
"Connected Devices Platform ユーザー サービス_e6087","Auto",,"このユーザー サービスは、Connected Devices Platform のシナリオに使用されます"
"ConsentUX のユーザー サービス_e6087","Manual",,"アプリが機密のリソースやデバイスの場所などの情報にアクセスできるようにするために、システムがユーザーの同意を要求することを許可する"
"CredentialEnrollmentManagerUserSvc_e6087","Manual",,"資格情報の登録マネージャー"
"DeviceAssociationBroker_e6087","Manual",,"Enables apps to pair devices"
"DevicePicker_e6087","Disabled",,"このユーザー サービスは、Miracast、DLNA、DIAL UI を管理するために使用されます。"
"デバイス フロー_e6087","Manual",,"ConnectUX と PC 設定を Wi-Fi ディスプレイと Bluetooth デバイスに接続し、ペアリングすることを許可します。"
"Contact Data_e6087","Manual",,"連絡先のインデックスを作成して、連絡先の検索を高速化します。このサービスを停止または無効にすると、連絡先が検索結果に含まれなくなる可能性があります。"
"PrintWorkflow_e6087","Manual",,"印刷ワークフロー アプリケーションのサポートを提供します。このサービスを無効にすると、印刷できない場合があります。"
"Udk User Service_e6087","Manual",,"シェル コンポーネント サービス"
"User Data Storage_e6087","Manual",,"構造化されたユーザー データのストレージを処理します。ユーザー データには、連絡先情報、予定表、メッセージなどのコンテンツが含まれます。このサービスを停止または無効にすると、このデータを使用するアプリが正しく動作しなくなる可能性があります。"
"User Data Access_e6087","Manual",,"構造化されたユーザー データへのアクセスをアプリに提供します。ユーザー データには、連絡先情報、予定表、メッセージなどのコンテンツが含まれます。このサービスを停止または無効にすると、このデータを使用するアプリが正しく動作しなくなる可能性があります。"
"Windows Push Notifications User Service_e6087","Auto",,"このサービスは、ローカル通知とプッシュ通知をサポートする Windows 通知プラットフォームをホストします。タイル通知、トースト通知、直接通知がサポートされています。"
"TeamViewer","Auto","LocalSystem","TeamViewer Remote Software"
